Table S2. Genes that responded to Pou5f1 suppression in ZHBTc4 ES cells,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,,,,,,,
Z00003421-1,Ddx49,56.11,-0.284,1.923,0,11.23,0,0,747,1,0,2,0,1.5197,0,0,0.559,0,0,Ddx49,DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
Z00029004-1,4930599N23Rik,22.43,-0.284,1.923,0,4.318,0.00003,0.00012,13542,0,0,4,3,4.2792,0,0,0.4846,0,0,4930599N23Rik,RIKEN cDNA 4930599N23 gene
Z00029953-1,LOC675395,29.49,-0.284,1.923,0,13.73,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC675395,similar to gonadotropin inducible ovarian transcription factor 1
Z00030486-1,Nedd4l,15.99,-0.284,1.923,1,10.021,0,0,-20827,0,0,0,8,3.4622,0,0,0.319,0,0,Nedd4l,"neural precursor cell expressed, developmentally down-regulated gene 4-like"
Z00034552-1,Zranb2,76.01,-0.284,1.923,0,11.749,0,0,0,0,0,0,0,0,0,0,1,0,0,Zranb2,"zinc finger, RAN-binding domain containing 2"
Z00035093-1,Foxred1,39.87,-0.284,1.923,0,27.145,0,0,0,0,0,0,0,0,0,0,1,0,0,Foxred1,FAD-dependent oxidoreductase domain containing 1
Z00042663-1,1100001I22Rik,94.1,-0.284,1.923,0,15.912,0,0,2899,0,0,2,1,3.5314,0,0,0.4255,0,0,1100001I22Rik,RIKEN cDNA 1100001I22 gene
Z00066649-1,Trip12,39.41,-0.284,1.923,0,9.752,0,0,-11346,0,0,0,3,2.1706,0,0,0.3912,0,0,Trip12,thyroid hormone receptor interactor 12
Z00003831-1,5830417I10Rik,75.64,-0.283,1.918,0,4.176,0.00005,0.00019,64,1,0,5,0,3.4795,0,0,0.4939,0,0,5830417I10Rik,RIKEN cDNA 5830417I10 gene
Z00005313-1,Gbx2,18.56,-0.283,1.918,0,16.649,0,0,-10435,0,0,8,1,4.6916,0,-1.014262472,0.4846,0,1,Gbx2,gastrulation brain homeobox 2
Z00006252-1,Chchd4,76.25,-0.283,1.918,0,8.758,0,0,28489,0,0,1,2,2.1608,0,0,0.5145,0,0,Chchd4,coiled-coil-helix-coiled-coil-helix domain containing 4
Z00012147-1,Pelp1,22.71,-0.283,1.918,0,12.813,0,0,0,0,0,0,0,0,0,0,1,0,0,Pelp1,"proline, glutamic acid and leucine rich protein 1"
Z00015546-1,Vars2,45.73,-0.283,1.918,0,17.708,0,0,-821,0,1,1,2,4.6152,0,-0.236494207,0.2697,0,0,Vars2,valyl-tRNA synthetase 2
Z00018519-1,Sfpq,88.58,-0.283,1.918,0,10.92,0,0,-19727,0,1,2,0,1.3155,0,0,0.6243,0,0,Sfpq,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
Z00021683-1,Traf3ip2,22.2,-0.283,1.918,1,7.358,0,0,-20205,0,0,1,6,3.7724,0,0,0.319,0,0,Traf3ip2,Traf3 interacting protein 2
Z00022943-1,Pip,19.28,-0.283,1.918,0,8.533,0,0,-60930,0,0,0,2,1.1553,0,0,0.7595,0,0,Pip,prolactin induced protein
Z00034482-1,Notch1,30.77,-0.283,1.918,0,17.108,0,0,544,1,0,7,1,6.438,0,0,0.1312,1,1,Notch1,Notch gene homolog 1 (Drosophila)
Z00038943-1,E330039K12Rik,20.67,-0.283,1.918,0,10.274,0,0,971,0,0,2,4,7.0749,0,0,0.2047,0,0,E330039K12Rik,RIKEN cDNA E330039K12 gene
Z00059642-1,Bnc1,4.48,-0.283,1.918,1,4.84,0.00001,0.00002,-11701,0,0,1,2,2.6439,0,0,0.5428,0,0,Bnc1,basonuclin 1
Z00060995-1,Zfp71-rs1,13.09,-0.283,1.918,0,12.625,0,0,0,0,0,0,0,0,0,0,1,0,0,Zfp71-rs1,"zinc finger protein 71, related sequence 1"
Z00000245-1,Pvrl2,29.65,-0.282,1.914,1,19.081,0,0,0,0,0,0,0,0,0,0,1,0,0,Pvrl2,poliovirus receptor-related 2
Z00005200-1,Tcf3,7.33,-0.282,1.914,1,12.252,0,0,1629,1,0,5,9,9.6347,0,0.237133926,0.0778,1,1,Tcf3,transcription factor 3
Z00010971-1,Cenpa,100.78,-0.282,1.914,0,10.055,0,0,-6493,0,1,0,4,2.9409,0,0,0.4667,0,0,Cenpa,centromere protein A
Z00018777-1,Tarsl1,46.78,-0.282,1.914,0,14.664,0,0,-38116,0,0,2,1,1.9703,0,0,0.4127,0,0,Tarsl1,threonyl-tRNA synthetase-like 1
Z00019467-1,4930518F03Rik,1.87,-0.282,1.914,1,6.904,0,0,59099,0,0,1,2,1.8313,0,0.280864794,0.563,0,0,4930518F03Rik,RIKEN cDNA 4930518F03 gene
Z00024991-1,Cpt1a,21.21,-0.282,1.914,0,18.927,0,0,10754,0,0,3,1,3.0523,0,0,0.5338,0,0,Cpt1a,"carnitine palmitoyltransferase 1a, liver"
Z00032079-1,Aarsl,34.18,-0.282,1.914,0,11.02,0,0,-19154,0,0,3,2,3.1974,0,0,0.4328,0,0,Aarsl,alanyl-tRNA synthetase like
Z00034138-1,Mel13,59.84,-0.282,1.914,0,16.956,0,0,10915,0,0,1,2,2.6859,0,0,0.5048,0,0,Mel13,melanoma nuclear protein 13
Z00035211-1,Cbx1,83.89,-0.282,1.914,0,12.398,0,0,-8693,0,1,4,3,4.7401,-0.302,-0.410774635,0.4939,0,1,Cbx1,chromobox homolog 1 (Drosophila HP1 beta)
Z00035434-1,Fez1,13.04,-0.282,1.914,0,12.783,0,0,-14817,0,0,3,0,1.8004,0,-0.444287221,0.6149,0,0,Fez1,fasciculation and elongation protein zeta 1 (zygin I)
Z00056368-1,Psmb3,37.41,-0.282,1.914,0,14.283,0,0,4044,0,0,2,2,4.0174,0,0,0.2713,0,0,Psmb3,"proteasome (prosome, macropain) subunit, beta type 3"
Z00011476-1,Cox7a2,83.49,-0.281,1.909,0,4.067,0.00008,0.00027,14442,0,0,1,2,2.5208,0,0,0.4939,0,0,Cox7a2,"cytochrome c oxidase, subunit VIIa 2"
Z00017738-1,Wdr82,14.47,-0.281,1.909,1,8.291,0,0,1008,1,0,4,7,9.22,0,0,0.1286,1,0,Wdr82,WD repeat domain containing 82
Z00019834-1,Pla1a,17.76,-0.281,1.909,0,9.824,0,0,24947,0,0,6,3,4.2685,0,-0.398558627,0.4846,0,0,Pla1a,phospholipase A1 member A
Z00027757-1,Ccl5,4.6,-0.281,1.909,1,4.703,0.00001,0.00004,23964,0,0,1,2,2.2477,0,0,0.5428,0,0,Ccl5,chemokine (C-C motif) ligand 5
Z00032929-1,Frem3,17.6,-0.281,1.909,0,10.83,0,0,68129,0,1,2,0,0.9923,0,0,0.8377,0,0,Frem3,Fras1 related extracellular matrix protein 3
Z00036389-1,Trip10,23.7,-0.281,1.909,1,7.825,0,0,7852,1,0,2,1,1.7436,0,0,0.4593,0,0,Trip10,thyroid hormone receptor interactor 10
Z00072434-1,4930431J08Rik,5.94,-0.281,1.909,0,9.115,0,0,-29631,0,0,1,6,3.459,0,0,0.2726,0,0,4930431J08Rik,RIKEN cDNA 4930431J08 gene
Z00072822-1,LOC195531,17.35,-0.281,1.909,0,13.784,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC195531,"Copy of E0240D03-5 NIA Mouse Embryonic Stem (ES) cell (Lif-, 48 h, high density) cDNA library (Long) Mus musculus cDNA clone NIA:E0240D03 IMAGE:30853190 5', mRNA sequence"
Z00008006-1,1110008L16Rik,50.25,-0.28,1.905,0,13.307,0,0,-616,1,0,2,2,4.4504,-0.24,-0.262547013,0.5048,0,0,1110008L16Rik,RIKEN cDNA 1110008L16 gene
Z00017899-1,Tipin,87.36,-0.28,1.905,0,10.489,0,0,-14259,0,0,2,0,1.4145,-0.326,-0.229817542,0.6149,0,0,Tipin,timeless interacting protein
Z00022551-1,Acaa2,50.31,-0.28,1.905,1,13.546,0,0,7286,0,0,0,2,1.869,0,0,0.4865,0,0,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
Z00023456-1,Rtkn,21.94,-0.28,1.905,0,14.417,0,0,65,0,0,2,0,2.5823,0,-0.223354202,0.5417,0,0,Rtkn,rhotekin
Z00034528-1,Snrpa1,89.74,-0.28,1.905,0,11.261,0,0,-1002,0,0,0,2,2.9293,0,-0.261259222,0.4846,0,0,Snrpa1,small nuclear ribonucleoprotein polypeptide A'
Z00034634-1,Gpt1,63.28,-0.28,1.905,0,11.808,0,0,-782,0,0,0,2,2.9307,0,0,0.377,0,0,Gpt1,"glutamic pyruvic transaminase 1, soluble"
Z00057743-1,Ech1,19.78,-0.28,1.905,1,13.161,0,0,317,1,0,2,0,1.5197,0,0,0.4899,0,0,Ech1,"enoyl coenzyme A hydratase 1, peroxisomal"
Z00006560-1,Smarcad1,20.53,-0.279,1.901,0,8.037,0,0,-18011,0,1,2,6,4.3384,0,0,0.4846,2,1,Smarcad1,"SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1`"
Z00010092-1,Bbs2,51,-0.279,1.901,0,16.577,0,0,8623,0,0,0,7,3.8936,0,-0.461463736,0.5048,0,0,Bbs2,Bardet-Biedl syndrome 2 homolog (human)
Z00015627-1,Orc5l,18.14,-0.279,1.901,0,13.494,0,0,-10465,0,1,4,2,4.0477,0,-0.190146349,0.4846,0,0,Orc5l,"origin recognition complex, subunit 5-like (S. cerevisiae)"
Z00020035-1,Cdk10,55.1,-0.279,1.901,0,9.349,0,0,20744,0,0,2,1,2.2614,0.328,0,0.5337,0,0,Cdk10,cyclin-dependent kinase (CDC2-like) 10
Z00025404-1,Sp4,33.18,-0.279,1.901,0,3.866,0.00015,0.0005,37966,0,0,0,2,1.286,0,0,0.5928,0,1,Sp4,trans-acting transcription factor 4
Z00035381-1,Xrcc6,34.07,-0.279,1.901,0,16.972,0,0,-80,1,0,2,2,4.4504,0,-0.263605962,0.3266,0,0,Xrcc6,X-ray repair complementing defective repair in Chinese hamster cells 6
Z00035464-1,Trim13,10.08,-0.279,1.901,1,5.868,0,0,0,0,0,0,0,0,0,-0.245569614,1,0,0,Trim13,tripartite motif protein 13
Z00035489-1,Spred2,44.93,-0.279,1.901,0,22.458,0,0,-4874,1,0,4,8,6.5134,0,-0.275518682,0.1182,1,0,Spred2,"sprouty-related, EVH1 domain containing 2"
Z00035741-1,Dph3,88.64,-0.279,1.901,0,9.601,0,0,0,0,0,0,0,0,0,0,1,0,0,Dph3,"DPH3 homolog (KTI11, S. cerevisiae)"
Z00035859-1,Gmcl1,34.65,-0.279,1.901,1,8.052,0,0,0,0,0,0,0,0,0,0,1,0,0,Gmcl1,germ cell-less homolog 1 (Drosophila)
Z00054525-1,Wdr57,51.21,-0.279,1.901,0,9.728,0,0,0,0,0,0,0,0,0,0,1,0,0,Wdr57,WD repeat domain 57 (U5 snRNP specific)
Z00055925-1,G430022H21Rik,69.28,-0.279,1.901,0,11.998,0,0,24391,0,0,2,0,1.2526,0,0,0.6104,0,0,G430022H21Rik,RIKEN cDNA G430022H21 gene
Z00056364-1,Calr,25.66,-0.279,1.901,1,3.123,0.00159,0.00457,271,1,0,2,2,4.4504,0,0,0.2013,0,0,Calr,calreticulin
Z00070093-1,5730559C18Rik,20.7,-0.279,1.901,0,9.338,0,0,-843,0,0,0,2,2.9307,0,0,0.5338,0,0,5730559C18Rik,"Mus musculus RIKEN cDNA 5730559C18 gene (5730559C18Rik), mRNA"
Z00003252-1,Adar,19.04,-0.278,1.896,1,6.383,0,0,2494,0,0,2,0,2.0995,0,0,0.4365,0,0,Adar,"adenosine deaminase, RNA-specific"
Z00008666-1,2610024G14Rik,27.02,-0.278,1.896,0,11.25,0,0,3291,0,0,4,0,3.0225,0,0,0.4328,0,0,2610024G14Rik,RIKEN cDNA 2610024G14 gene
Z00013548-1,Tbx3,103.39,-0.278,1.896,0,14.955,0,0,10078,0,0,8,8,7.6768,0,0,0.3066,2,1,Tbx3,T-box 3
Z00018312-1,2610203C20Rik,4.66,-0.278,1.896,1,8.644,0,0,0,0,0,0,0,0,0,0,1,0,0,2610203C20Rik,RIKEN cDNA 2610203C20 gene
Z00019233-1,Mapk3,39.03,-0.278,1.896,0,21.603,0,0,-10751,0,1,2,0,1.5079,0,0,0.476,0,0,Mapk3,mitogen activated protein kinase 3
Z00024672-1,Clgn,51.6,-0.278,1.896,0,13.859,0,0,-37702,0,0,0,4,1.9681,0,0,0.5549,0,0,Clgn,calmegin
Z00025738-1,Bcar3,21.61,-0.278,1.896,1,13.919,0,0,-18,1,0,2,2,4.4504,0,0,0.319,0,0,Bcar3,breast cancer anti-estrogen resistance 3
Z00027265-1,6720457D02Rik,11.47,-0.278,1.896,1,8.952,0,0,0,0,0,0,0,0,0,0,1,0,0,6720457D02Rik,RIKEN cDNA 6720457D02 gene
Z00035357-1,9030617O03Rik,19.77,-0.278,1.896,0,12.552,0,0,52513,0,0,2,7,3.6396,0,0,0.5046,0,0,9030617O03Rik,RIKEN cDNA 9030617O03 gene
Z00035706-1,Zfp341,37.91,-0.278,1.896,0,18.21,0,0,-2804,0,0,2,0,2.0445,0,0,0.4103,0,0,Zfp341,zinc finger protein 341
Z00040734-1,Ckap5,10.18,-0.278,1.896,1,11.494,0,0,-8419,0,0,2,0,1.5938,0,0,0.563,0,0,Ckap5,cytoskeleton associated protein 5
Z00057485-1,2600005C20Rik,32.76,-0.278,1.896,0,11.155,0,0,2303,0,0,2,0,2.1377,0,0,0.5466,0,0,2600005C20Rik,RIKEN cDNA 2600005C20 gene
Z00010874-1,Camk1d,22.06,-0.277,1.892,0,8.986,0,0,-1346,0,0,0,5,4.8193,0,-0.414512991,0.4819,0,0,Camk1d,calcium/calmodulin-dependent protein kinase ID
Z00012479-1,2410019A14Rik,77.5,-0.277,1.892,0,8.106,0,0,-40488,0,0,0,3,1.6272,0,-0.192405579,0.5942,0,0,2410019A14Rik,RIKEN cDNA 2410019A14 gene
Z00019939-1,Sspn,3.98,-0.277,1.892,1,6.337,0,0,55779,0,0,3,0,1.3334,0,0,0.5859,0,0,Sspn,sarcospan
Z00023582-1,Fgf18,21.3,-0.277,1.892,0,25.901,0,0,-1182,1,0,1,2,3.3811,0,0,0.5046,0,0,Fgf18,fibroblast growth factor 18
Z00025940-1,Bcan,23.5,-0.277,1.892,0,13.731,0,0,6413,0,0,4,0,2.5986,0,0,0.5417,0,0,Bcan,brevican
Z00034938-1,Nek1,18.88,-0.277,1.892,0,10.703,0,0,-2042,0,1,2,0,2.1967,0,-0.296799892,0.5673,0,0,Nek1,NIMA (never in mitosis gene a)-related expressed kinase 1
Z00036417-1,Nol8,18.53,-0.277,1.892,0,2.854,0.00362,0.00971,90,1,0,5,2,6.4102,0,0,0.2728,0,0,Nol8,nucleolar protein 8
Z00060512-1,Tjp2,38.82,-0.277,1.892,1,4.944,0,0.00002,70369,0,0,6,1,2.6596,0,0,0.4833,0,0,Tjp2,tight junction protein 2
Z00061124-1,Bcl2l11,64.29,-0.277,1.892,0,14.34,0,0,137309,0,0,3,4,2.5607,-0.474,0.196910283,0.4586,0,0,Bcl2l11,BCL2-like 11 (apoptosis facilitator)
Z00063259-1,Tfam,62.97,-0.277,1.892,0,12.257,0,0,16008,0,0,2,0,1.3779,0,0,0.5709,0,1,Tfam,"transcription factor A, mitochondrial"
Z00070603-1,9330159F19Rik,7.47,-0.277,1.892,0,6.093,0,0,0,0,0,0,0,0,0,0,1,0,0,9330159F19Rik,RIKEN cDNA 9330159F19 gene
Z00072580-1,AF529169,16.76,-0.277,1.892,0,9.289,0,0,-3729,0,0,0,2,2.1752,0,0,0.5673,0,0,AF529169,cDNA sequence AF529169
Z00011356-1,Mfng,25.6,-0.276,1.887,0,13.983,0,0,13799,0,1,3,0,1.8296,0,-0.284119982,0.5466,0,0,Mfng,manic fringe homolog (Drosophila)
Z00015515-1,5830411G16Rik,12.97,-0.276,1.887,0,7.513,0,0,26132,0,0,2,0,1.2332,0,0,0.7278,0,0,5830411G16Rik,RIKEN cDNA 5830411G16 gene
Z00024329-1,Irf5,21.85,-0.276,1.887,0,8.898,0,0,16361,0,1,0,4,2.3854,0,0,0.5673,0,1,Irf5,interferon regulatory factor 5
Z00025684-1,Epb4.1l4a,11.76,-0.276,1.887,1,5.839,0,0,-3646,1,0,3,33,13.7148,0,0,0.0106,1,0,Epb4.1l4a,erythrocyte protein band 4.1-like 4a
Z00032253-1,D930026N18Rik,7.07,-0.276,1.887,1,4.391,0.00003,0.0001,0,0,0,0,0,0,0,0,1,0,0,D930026N18Rik,RIKEN cDNA D930026N18 gene
Z00034710-1,2310008H09Rik,38.31,-0.276,1.887,0,14.299,0,0,-31813,0,0,1,7,3.6664,0,0,0.315,0,0,2310008H09Rik,RIKEN cDNA 2310008H09 gene
Z00054230-1,Ppp1r7,94.25,-0.276,1.887,0,9.721,0,0,0,0,0,0,0,0,0,0,1,0,0,Ppp1r7,"protein phosphatase 1, regulatory (inhibitor) subunit 7"
Z00055061-1,Patz1,51.57,-0.276,1.887,1,15.7,0,0,3106,0,0,1,2,3.5704,0,0,0.4573,0,0,Patz1,POZ (BTB) and AT hook containing zinc finger 1
Z00060712-1,Cts8,28.94,-0.276,1.887,0,10.018,0,0,0,0,0,0,0,0,0,0,1,0,0,Cts8,cathepsin 8
Z00060948-1,Aurkc,62.45,-0.276,1.887,0,17.871,0,0,0,0,0,0,0,0,0,0,1,0,0,Aurkc,aurora kinase C
Z00000570-1,Oas1a,34.18,-0.275,1.883,1,15.849,0,0,-704,0,0,2,4,7.0749,0,0,0.0753,1,0,Oas1a,2'-5' oligoadenylate synthetase 1A
Z00006505-1,Usp21,53.08,-0.275,1.883,0,6.935,0,0,192,1,0,0,3,2.7,0,0,0.5048,0,0,Usp21,ubiquitin specific peptidase 21
Z00008447-1,Ube2a,45.5,-0.275,1.883,0,19.635,0,0,-37418,0,0,0,7,2.7924,0,0.250151306,0.3776,0,0,Ube2a,"ubiquitin-conjugating enzyme E2A, RAD6 homolog (S. cerevisiae)"
Z00019756-1,2310047M15Rik,87.23,-0.275,1.883,0,9.906,0,0,80953,0,0,4,8,4.009,0,0,0.4255,0,0,2310047M15Rik,RIKEN cDNA 2310047M15 gene
Z00021796-1,Gna-rs1,11.45,-0.275,1.883,1,13.156,0,0,6409,0,0,2,0,1.6956,0,0,0.563,0,0,Gna-rs1,"guanine nucleotide binding protein, related sequence 1"
Z00032275-1,LOC244061,85.72,-0.275,1.883,0,13.749,0,0,82493,0,0,2,13,4.3542,0,0,0.3612,0,0,LOC244061,similar to Smad nuclear-interacting protein 1
Z00032825-1,LOC231869,101.11,-0.275,1.883,0,8.724,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC231869,similar to G2/mitotic-specific cyclin B1
Z00033317-1,LOC383826,53.29,-0.275,1.883,0,12.077,0,0,152247,0,0,0,2,0.9389,0,0,0.7015,0,0,LOC383826,similar to 60S ribosomal protein L7a (Surfeit locus protein 3)
Z00034285-1,Zmat5,38.91,-0.275,1.883,0,10.776,0,0,313,0,0,1,7,8.0273,0,0,0.0979,1,0,Zmat5,"zinc finger, matrin type 5"
Z00034766-1,Blvrb,64.59,-0.275,1.883,0,14.844,0,0,0,0,0,0,0,0,0,0,1,0,0,Blvrb,biliverdin reductase B (flavin reductase (NADPH))
Z00035709-1,Sema5a,2.43,-0.275,1.883,1,5.582,0,0,26389,0,0,1,2,2.1991,0,0,0.5428,0,0,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
Z00046636-1,Nkx6-3,10.89,-0.275,1.883,0,10.688,0,0,10108,0,0,1,3,3.2257,0,0,0.2963,0,0,Nkx6-3,"NK6 transcription factor related, locus 3 (Drosophila)"
Z00060719-1,Sgol1,64.84,-0.275,1.883,0,14.224,0,0,37725,1,0,74,40,17.603,0,0,0.0003,1,0,Sgol1,shugoshin-like 1 (S. pombe)
Z00061958-1,Mgst3,37.16,-0.275,1.883,0,8.757,0,0,21943,0,0,0,3,1.8694,0.256,0,0.4133,0,0,Mgst3,microsomal glutathione S-transferase 3
Z00071303-1,D130003B22Rik,17.86,-0.275,1.883,0,5.821,0.00011,0,-7012,0,0,7,14,9.8919,0,0,0.0913,1,0,D130003B22Rik,RIKEN cDNA D130003B22 gene
Z00071405-1,BC052688,12.11,-0.275,1.883,0,9.853,0,0,0,0,0,0,0,0,0,0,1,0,0,BC052688,similar to zinc finger protein 111
Z00021038-1,Sfrs6,62.27,-0.274,1.879,0,14.766,0,0,-2789,0,1,2,3,5.0296,0,0,0.3404,0,0,Sfrs6,"splicing factor, arginine/serine-rich 6"
Z00021367-1,Rabif,39.47,-0.274,1.879,0,14.486,0,0,40862,0,0,4,38,9.5127,0,0,0.0979,1,0,Rabif,RAB interacting factor
Z00025110-1,4732475C15Rik,22.56,-0.274,1.879,0,8.585,0,0,-809,0,1,2,0,2.5823,0,0,0.5417,0,0,4732475C15Rik,RIKEN cDNA 4732475C15 gene
Z00027188-1,LOC675992,94.65,-0.274,1.879,0,12.664,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC675992,similar to nuclear autoantigenic sperm protein isoform 3
Z00030535-1,Lrch2,19.18,-0.274,1.879,0,13.678,0,0,45855,0,0,2,1,1.8895,0,0,0.6083,0,0,Lrch2,leucine-rich repeats and calponin homology (CH) domain containing 2
Z00034347-1,Cbfa2t2,20.24,-0.274,1.879,1,12.225,0,0,-2001,0,1,3,0,2.8334,0,0,0.3782,0,0,Cbfa2t2,"core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human)"
Z00058004-1,LOC638533,20.09,-0.274,1.879,0,13.867,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC638533,"similar to serine (or cysteine) proteinase inhibitor, clade B, member 9b"
Z00058989-1,Racgap1,103.24,-0.274,1.879,0,11.647,0,0,-969,0,0,0,2,2.9307,0,0,0.4667,0,0,Racgap1,Rac GTPase-activating protein 1
Z00012971-1,Nme6,78.92,-0.273,1.874,0,11.063,0,0,-27094,0,0,1,4,2.9258,0,0,0.4939,0,0,Nme6,"expressed in non-metastatic cells 6, protein"
Z00014781-1,Bhlhb9,100.16,-0.273,1.874,0,8.131,0,0,18148,0,0,1,2,2.3937,0,0,0.5213,0,0,Bhlhb9,"basic helix-loop-helix domain containing, class B9"
Z00022596-1,Mrps30,80.45,-0.273,1.874,0,7.512,0,0,0,0,0,0,0,0,0,0,1,0,0,Mrps30,mitochondrial ribosomal protein S30
Z00028379-1,B830008H07Rik,43.94,-0.273,1.874,0,18.507,0,0,0,0,0,0,0,0,0,0,1,0,0,B830008H07Rik,RIKEN cDNA B830008H07 gene
Z00030145-1,LOC433237,17.85,-0.273,1.874,0,10.387,0,0,2545,0,0,1,4,4.9992,0,-0.188846607,0.4812,0,0,LOC433237,hypothetical gene supported by AK028012
Z00034668-1,Mcm3,70.43,-0.273,1.874,0,12.626,0,0,-46739,0,0,2,6,3.4869,0,-0.316303866,0.3404,0,1,Mcm3,minichromosome maintenance deficient 3 (S. cerevisiae)
Z00036429-1,2900062L11Rik,99.14,-0.273,1.874,0,15.268,0,0,0,0,0,0,0,0,0,0,1,0,0,2900062L11Rik,RIKEN cDNA 2900062L11 gene
Z00071063-1,AA667203,11.94,-0.273,1.874,0,10.166,0,0,4428,0,0,3,0,2.3668,0,0,0.3712,0,0,AA667203,"Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630075J08 product:hypothetical protein, full insert sequence"
Z00007025-1,2810422O20Rik,20.5,-0.272,1.87,0,8.231,0,0,24155,0,0,5,3,4.0337,0,-0.266431324,0.4846,0,0,2810422O20Rik,RIKEN cDNA 2810422O20 gene
Z00009840-1,AU022751,61.29,-0.272,1.87,0,13.595,0,0,0,0,0,0,0,0,0,0,1,0,0,AU022751,expressed sequence AU022751
Z00015116-1,Plekhm1,11.48,-0.272,1.87,1,23.631,0,0,-3121,0,1,2,5,5.979,0,0,0.2631,0,0,Plekhm1,"pleckstrin homology domain containing, family M (with RUN domain) member 1"
Z00015155-1,Atpbd1b,19.98,-0.272,1.87,0,10.666,0,0,178,1,0,0,2,1.868,0,0,0.6083,0,0,Atpbd1b,"ATP binding domain 1 family, member B"
Z00016960-1,C79407,63.05,-0.272,1.87,0,5.66,0,0,57107,0,1,2,21,6.0414,-0.549,0,0.2529,0,0,C79407,expressed sequence C79407
Z00021936-1,Glis2,99.54,-0.272,1.87,0,16.637,0,0,3031,0,0,4,0,3.0793,0,0.228293563,0.4667,0,1,Glis2,GLIS family zinc finger 2
Z00022017-1,Enc1,43.16,-0.272,1.87,0,13.665,0,0,-3117,0,0,1,3,4.2106,-0.21,-0.176899765,0.2697,0,0,Enc1,ectodermal-neural cortex 1
Z00024136-1,Bhmt2,73.18,-0.272,1.87,0,9.927,0,0,19170,0,0,1,2,2.3642,0,0,0.4939,0,0,Bhmt2,betaine-homocysteine methyltransferase 2
Z00024184-1,Ifit1,4.78,-0.272,1.87,1,4.886,0,0.00002,3152,0,1,0,3,2.9011,0,0,0.5428,0,0,Ifit1,interferon-induced protein with tetratricopeptide repeats 1
Z00036054-1,Wdr36,96.53,-0.272,1.87,0,14.804,0,0,2862,0,0,0,2,2.3096,0,0,0.5213,0,0,Wdr36,WD repeat domain 36
Z00036135-1,Cpsf1,52.25,-0.272,1.87,0,12.553,0,0,-3601,0,0,2,0,1.9335,0,0,0.5549,0,0,Cpsf1,cleavage and polyadenylation specific factor 1
Z00036569-1,Cspg5,22.62,-0.272,1.87,0,14.107,0,0,718,0,0,3,0,3.3154,0,0,0.5046,0,0,Cspg5,chondroitin sulfate proteoglycan 5
Z00052036-1,Spryd3,1.94,-0.272,1.87,1,6.112,0.00007,0,2137,0,0,2,0,2.1742,0,0.397390059,0.5428,0,0,Spryd3,SPRY domain containing 3
Z00056132-1,Wasl,25.59,-0.272,1.87,0,12.646,0,0,8547,0,0,2,1,2.7644,-0.342,0,0.4328,0,0,Wasl,Wiskott-Aldrich syndrome-like (human)
Z00056723-1,Erh,94.02,-0.272,1.87,0,9.785,0,0,35828,0,0,2,1,1.9981,0,0,0.5198,0,0,Erh,enhancer of rudimentary homolog (Drosophila)
Z00058547-1,Gps2,18.58,-0.272,1.87,1,4.439,0.00002,0.00008,3353,0,0,2,1,3.4211,0,0,0.319,0,0,Gps2,G protein pathway suppressor 2
Z00005263-1,Tle2,27.46,-0.271,1.866,0,10.332,0,0,5815,0,0,0,2,1.967,0,0,0.5466,0,1,Tle2,"transducin-like enhancer of split 2, homolog of Drosophila E(spl)"
Z00009592-1,1810030N24Rik,41.51,-0.271,1.866,0,18.169,0,0,6657,0,1,1,17,8.23,0,0,0.0979,1,0,1810030N24Rik,RIKEN cDNA 1810030N24 gene
Z00014698-1,2310004L02Rik,43.93,-0.271,1.866,0,18.203,0,0,-18231,0,0,2,0,1.3379,0,0,0.5122,0,0,2310004L02Rik,RIKEN cDNA 2310004L02 gene
Z00022740-1,Cox7a1,63.13,-0.271,1.866,0,20.592,0,0,0,0,0,0,0,0,0,0,1,0,0,Cox7a1,"cytochrome c oxidase, subunit VIIa 1"
Z00023234-1,Stc2,25.15,-0.271,1.866,1,16.536,0,0,-24595,0,0,3,0,1.6051,0,-0.391501867,0.4394,0,0,Stc2,stanniocalcin 2
Z00023334-1,Mesdc1,89.25,-0.271,1.866,0,13.965,0,0,-352,0,0,3,3,7.078,-0.244,0,0.1483,1,0,Mesdc1,mesoderm development candidate 1
Z00031219-1,Ugt1a@,4.69,-0.271,1.866,1,6.459,0,0,0,0,0,0,0,0,0,0,1,0,0,Ugt1a@,"UDP glycosyltransferase 1 family, polypeptide A cluster"
