"Table S12. Combined tentative target genes (TTGs) of Pou5f1, Sox2, and Nanog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,Logratio of gene expression in lineage committed cells compared to ES*,,,,,,,,,,,,,,,,,,,,,,,,,,
C030013E06Rik,1,0,0,-0.749,0,0,7.6,NA,NA,-1,0,0,-9409,0,1,4,5,5.4655,-0.45743,-0.211,-0.2142,-0.6024,Down-regulated,Yes,C030013E06Rik,RIKEN cDNA C030013E06 gene,,,,,,,,,,,,,,,,,,,
C330002I19Rik,1,0,0,-0.184,0,0,53.83,NA,NA,-1,0,0,-28987,1,0,64,31,16.5365,0,0,0,0,No change,No,C330002I19Rik,RIKEN cDNA C330002I19 gene,,,,,,,,,,,,,,,,,,,
C330003B14Rik,1,0,1,-0.439,-0.193,0.459857154,13.6,66.52,NA,-1,1,2,32762,0,1,5,10,5.6507,0,-0.4948,0,-0.5497,Down-regulated,Yes,C330003B14Rik,RIKEN cDNA C330003B14 gene,,,,,,,,,,,,,,,,,,,
C77080,0,1,0,0.375,0.295,0,81.49,9.32,NA,1,1,0,685,0,0,2,0,1.628,0.41533,-0.8653,-0.6471,-0.3883,Mixed,No,C77080,expressed sequence C77080,,,,,,,,,,,,,,,,,,,
Calr,0,1,0,-0.279,-0.274,0,25.66,24.14,NA,-1,1,0,271,1,0,2,2,4.4504,0,0,0,0.2806,Up-regulated,No,Calr,calreticulin,,,,,,,,,,,,,,,,,,,
Camk1d,0,0,1,-0.277,0.226,-0.403,22.06,11.07,15.93,-1,1,2,-1346,0,0,0,5,4.8193,-0.44763,-0.2738,0,-0.3135,Down-regulated,Yes,Camk1d,calcium/calmodulin-dependent protein kinase ID,,,,,,,,,,,,,,,,,,,
Car13,0,1,0,0,-0.537,-0.241423949,NA,17.78,NA,-1,1,0,-20654,0,0,3,4,3.9327,-0.64615,-0.5535,-0.5304,0.3003,Mixed,No,Car13,carbonic anhydrase 13,,,,,,,,,,,,,,,,,,,
Casc4,1,0,0,-0.388,-0.483,0,5.66,22.21,NA,-1,1,0,-813,1,0,2,1,3.4315,0,0.4497,0,0.3388,Up-regulated,No,Casc4,cancer susceptibility candidate 4,,,,,,,,,,,,,,,,,,,
Cbs,0,0,1,-0.194,0,-0.412,59.83,NA,56.47,-1,1,0,-521,1,0,0,2,1.868,0,0.4571,0,0,Up-regulated,No,Cbs,cystathionine beta-synthase,,,,,,,,,,,,,,,,,,,
Ccdc5,0,0,1,0,0,-0.247,NA,NA,41.09,-1,0,0,-339,0,0,3,0,3.3154,0,0,No data,-0.3693,Down-regulated,Yes,Ccdc5,coiled-coil domain containing 5,,,,,,,,,,,,,,,,,,,
Ccdc58,0,0,1,0,0,-0.183,NA,NA,74.31,-1,0,0,694,1,0,3,3,6.0154,No data,No data,No data,No data,No data,No,Ccdc58,expressed sequence AI413631,,,,,,,,,,,,,,,,,,,
Ccdc68,1,0,0,0.24,0.572,0,11.41,23.02,NA,1,1,0,-142080,0,0,1,16,2.7051,0.67421,-0.6204,No data,0.4529,Mixed,No,Ccdc68,coiled-coil domain containing 68,,,,,,,,,,,,,,,,,,,
Ccnb1,0,0,1,-0.267,0,-0.222,104.37,NA,51.31,-1,1,0,624,1,0,3,0,2.2527,-0.28495,-0.6695,-1.5483,-0.3933,Down-regulated,Yes,Ccnb1,cyclin B1,,,,,,,,,,,,,,,,,,,
Ccng2,0,0,1,0.234,0.325,-0.347815355,98.29,50.73,NA,1,1,2,1557,0,0,2,1,2.7615,0,0.5716,0,0.1947,Up-regulated,Yes,Ccng2,cyclin G2,,,,,,,,,,,,,,,,,,,
Ccrn4l,0,1,0,-0.319,-0.436,0.199858149,16.95,20,NA,-1,1,2,-2248,0,0,0,4,3.7395,0.9554,-0.4338,0.6474,0,Mixed,No,Ccrn4l,CCR4 carbon catabolite repression 4-like (S. cerevisiae),,,,,,,,,,,,,,,,,,,
Cd38,1,0,0,-0.268,0,0,32.52,NA,NA,-1,0,0,589,1,0,1,9,8.0272,0,0,0,0,No change,No,Cd38,CD38 antigen,,,,,,,,,,,,,,,,,,,
Cdc37l1,0,1,0,0,-0.378,0,NA,22.95,NA,-1,0,0,17889,0,0,5,26,9.7729,0,-0.359,0,0,Down-regulated,No,Cdc37l1,cell division cycle 37 homolog (S. cerevisiae)-like 1,,,,,,,,,,,,,,,,,,,
Cdc42ep3,1,0,0,-0.511,0.214,0,7.62,76.57,NA,-1,0,1,-9734,0,0,5,4,5.3922,0.31362,-0.6553,0,0.8102,Mixed,No,Cdc42ep3,CDC42 effector protein (Rho GTPase binding) 3,,,,,,,,,,,,,,,,,,,
Cdc73,0,0,1,-0.21,-0.231,-0.411915418,37.8,43.18,NA,-1,3,0,88797,0,0,0,8,2.4929,0,-0.2569,-0.334,-0.178,Down-regulated,Yes,Cdc73,"Vcell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",,,,,,,,,,,,,,,,,,,
Cdca5,1,0,0,-0.622,-0.247,0,10.46,84.97,NA,-1,1,0,-351,1,0,3,2,5.1795,-0.369,-0.3575,-0.7905,-0.6366,Down-regulated,Yes,Cdca5,cell division cycle associated 5,,,,,,,,,,,,,,,,,,,
Cdca7,0,1,1,-0.779,-0.463,-0.29,28.49,25.32,30.21,-1,3,0,40040,0,0,5,5,4.2162,-0.30275,-0.2814,-0.8306,-0.6366,Down-regulated,Yes,Cdca7,cell division cycle associated 7,,,,,,,,,,,,,,,,,,,
Cdh5,0,0,1,0,0,0.309,NA,NA,63.88,1,0,0,-7651,0,1,7,4,3.6718,0,0,0,0,No change,No,Cdh5,cadherin 5,,,,,,,,,,,,,,,,,,,
Cdx2,1,0,1,1.065,0,0.925,8.67,NA,13.1,1,1,0,1298,1,0,10,3,4.0069,0.3274,0,0.2415,0,Up-regulated,Yes,Cdx2,caudal type homeo box 2,,,,,,,,,,,,,,,,,,,
Cdyl,1,1,0,-0.259,-0.365,0,5.36,19.81,NA,-1,1,0,153,0,0,4,5,9.1134,-0.1818,-0.3667,0,-0.2511,Down-regulated,Yes,Cdyl,"chromodomain protein, Y chromosome-like",,,,,,,,,,,,,,,,,,,
Cdyl2,1,0,1,-0.482,0,-0.321683333,10.58,NA,NA,-1,1,0,58996,0,0,3,9,4.2527,-0.32148,-0.5285,No data,-0.5678,Down-regulated,Yes,Cdyl2,"chromodomain protein, Y chromosome-like 2",,,,,,,,,,,,,,,,,,,
Centa1,1,0,0,-0.261,0,0,13.12,NA,NA,-1,0,0,-134,0,0,1,6,7.4524,0,-0.187,No data,0,Down-regulated,Yes,Centa1,"centaurin, alpha 1",,,,,,,,,,,,,,,,,,,
Cep170,0,1,0,0,-0.25,0,NA,29.45,NA,-1,0,0,110402,0,0,2,15,4.3856,0.30732,0.4838,0,0.3932,Up-regulated,No,Cep170,centrosomal protein 170,,,,,,,,,,,,,,,,,,,
Cep55,1,1,1,-0.407,-0.342,-0.389,5.63,30.11,13.79,-1,3,0,13072,0,1,2,4,3.9525,-0.2855,-0.2433,-0.5754,0,Down-regulated,Yes,Cep55,centrosomal protein 55,,,,,,,,,,,,,,,,,,,
Cep68,1,1,1,-0.402,-0.299,-0.201104112,23.25,43.12,NA,-1,3,0,17651,0,0,3,25,9.0067,0,0.2058,0,-0.4494,Mixed,No,Cep68,centrosomal protein 68,,,,,,,,,,,,,,,,,,,
Cfdp1,1,0,0,0.283,0,0,32.21,NA,NA,1,0,0,64658,0,0,4,12,3.2471,0,-0.31,-0.3161,0,Down-regulated,No,Cfdp1,craniofacial development protein 1,,,,,,,,,,,,,,,,,,,
Cggbp1,0,0,1,0,0,-0.184,NA,NA,33.23,-1,0,0,34203,0,0,2,13,5.3338,0.24759,0.3867,0,0,Up-regulated,No,Cggbp1,CGG triplet repeat binding protein 1,,,,,,,,,,,,,,,,,,,
Chd7,0,0,1,0,0,0.264566667,NA,NA,NA,1,0,0,-2201,0,0,2,7,3.7853,-0.5749,0.2322,0,-0.8181,Mixed,No,Chd7,chromodomain helicase DNA binding protein 7,,,,,,,,,,,,,,,,,,,
Chd9,1,0,0,-0.373,-0.304,0.186874725,18.56,60.64,NA,-1,1,2,23030,0,0,3,8,5.0243,-0.4233,-0.4453,0,-0.3175,Down-regulated,Yes,Chd9,chromodomain helicase DNA binding protein 9,,,,,,,,,,,,,,,,,,,
Ches1,1,0,1,0.561,0.239,0.234566667,23.31,82.56,NA,1,3,0,-7946,0,0,11,26,5.5935,0,0,0.1852,0,Up-regulated,Yes,Ches1,checkpoint suppressor 1,,,,,,,,,,,,,,,,,,,
Chn1,0,1,1,-0.252,-0.374,-0.202,18.57,29.9,76.02,-1,3,0,8731,0,0,2,3,3.884,0,0.204,0.2616,-0.27,Mixed,No,Chn1,chimerin (chimaerin) 1,,,,,,,,,,,,,,,,,,,
Cidea,1,0,0,0.447,0.552,0,11.91,33.5,NA,1,1,0,-2442,0,0,1,5,3.1776,-0.3595,-0.3497,-0.3299,-0.8939,Down-regulated,No,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A",,,,,,,,,,,,,,,,,,,
Ckap4,1,0,0,-0.308,0,0,25.13,NA,NA,-1,0,0,-20768,0,0,2,6,4.2006,0,-0.7782,-0.2347,-0.787,Down-regulated,Yes,Ckap4,cytoskeleton-associated protein 4,,,,,,,,,,,,,,,,,,,
Cldn10,0,1,0,0,-0.413,0,NA,12.36,NA,-1,0,0,5561,0,0,0,4,3.0459,0.27501,0,0.1909,0,Up-regulated,No,Cldn10,claudin 10,,,,,,,,,,,,,,,,,,,
Cldn5,0,0,1,0.18,-0.214,-0.291,11.87,64.95,53.89,-1,1,2,-142,1,0,2,1,3.4315,0,0,0,0,No change,No,Cldn5,claudin 5,,,,,,,,,,,,,,,,,,,
Clybl,0,0,1,0.184,0.274,-0.465456734,116.89,41.94,NA,-1,1,2,506,0,0,1,5,6.8394,0.18689,0.2517,0,0,Up-regulated,Yes,Clybl,citrate lyase beta like,,,,,,,,,,,,,,,,,,,
Cntfr,0,0,1,0,0,-0.192,NA,NA,78.57,-1,0,0,-262,1,0,8,0,5.0055,0,0,0,0,No change,No,Cntfr,ciliary neurotrophic factor receptor,,,,,,,,,,,,,,,,,,,
Cobl,1,0,1,-0.728,0,-0.437368528,6.3,NA,35.79,-1,1,0,-4596,0,1,2,6,5.9245,-0.85466,-0.9581,-0.6897,-0.474,Down-regulated,Yes,Cobl,cordon-bleu,,,,,,,,,,,,,,,,,,,
Commd7,0,0,1,0.62,0.195,0.264,32.71,82.91,31.22,1,3,0,-10638,0,0,2,14,3.7095,0.55345,0,0,0.228,Up-regulated,Yes,Commd7,COMM domain containing 7,,,,,,,,,,,,,,,,,,,
Cox4nb,1,0,0,-0.387,0,0,17.22,NA,NA,-1,0,0,1958,0,0,0,6,4.9678,-0.2146,-0.2942,0,0,Down-regulated,Yes,Cox4nb,"Mus musculus COX4 neighbor (Cox4nb), mRNA",,,,,,,,,,,,,,,,,,,
Cpne5,0,0,1,0,0.3,-0.2,NA,15.94,71.38,1,0,1,-2981,0,0,4,3,3.4935,-0.26375,-0.2199,0,-0.3231,Down-regulated,Yes,Cpne5,copine V,,,,,,,,,,,,,,,,,,,
Cryl1,0,0,1,0.273,0.346,-0.18,83.3,30.66,75.04,1,1,2,-160,0,0,2,0,1.628,0,-0.1761,0,0,Down-regulated,Yes,Cryl1,"crystallin, lambda 1",,,,,,,,,,,,,,,,,,,
Cstf3,1,0,0,-0.325,0,0,39.05,NA,NA,-1,0,0,-1726,0,1,0,11,7.4369,0.21254,0,0,-0.2461,Mixed,No,Cstf3,"cleavage stimulation factor, 3' pre-RNA, subunit 3",,,,,,,,,,,,,,,,,,,
Cth,1,0,0,-0.604,-0.332,0,10.57,60.86,NA,-1,1,0,-7037,0,1,0,9,4.7801,-0.3664,-0.9645,-1.0295,-0.7967,Down-regulated,Yes,Cth,cystathionase (cystathionine gamma-lyase),,,,,,,,,,,,,,,,,,,
Ctnnal1,1,1,0,-0.627,-0.627,0,28.22,23.27,NA,-1,1,0,5725,0,0,0,12,5.9458,-0.276,-0.9869,0,-1.0083,Down-regulated,Yes,Ctnnal1,"catenin (cadherin associated protein), alpha-like 1",,,,,,,,,,,,,,,,,,,
D11Ertd636e,1,1,0,-0.389,-0.968,0,17.36,20.71,NA,-1,1,0,-55,1,0,3,5,7.4128,-0.68989,-1.1793,No data,-1.2078,Down-regulated,Yes,D11Ertd636e,"DNA segment, Chr 11, ERATO Doi 636, expressed",,,,,,,,,,,,,,,,,,,
D130003B22Rik,1,0,0,-0.275,0,0,17.86,NA,NA,-1,0,0,-7012,0,0,7,14,9.8919,No data,No data,No data,No data,No data,No,D130003B22Rik,RIKEN cDNA D130003B22 gene,,,,,,,,,,,,,,,,,,,
D14Ertd436e,1,0,0,-0.46,-0.186,0.25510787,18.79,93.64,NA,-1,1,2,-4144,0,0,2,5,5.6173,0,-0.3053,0,-0.2304,Down-regulated,Yes,D14Ertd436e,"DNA segment, Chr 14, ERATO Doi 436, expressed",,,,,,,,,,,,,,,,,,,
D230004J03Rik,0,0,1,0.564,0.215,0.2151,36.19,66.4,NA,1,3,0,-19278,0,0,4,14,3.9176,0.3125,0.652,0.4701,0,Up-regulated,Yes,D230004J03Rik,RIKEN cDNA D230004J03 gene,,,,,,,,,,,,,,,,,,,
D230012E17Rik,0,1,0,-0.18,-0.425,0,21.28,30.16,NA,-1,1,0,73861,0,1,7,4,3.8048,0,0.5406,0,-0.4257,Mixed,No,D230012E17Rik,RIKEN cDNA D230012E17 gene,,,,,,,,,,,,,,,,,,,
D230025D16Rik,1,0,0,-0.331,-0.352,0,29.9,10.41,NA,-1,1,0,8408,0,0,0,10,4.8746,-0.2257,-0.3044,0,-0.2784,Down-regulated,Yes,D230025D16Rik,RIKEN cDNA D230025D16 gene,,,,,,,,,,,,,,,,,,,
Dab1,1,1,1,-0.557,-0.728,-0.352,15.2,16.53,59.57,-1,3,0,1088,1,0,7,0,4.4337,-0.47672,0.4491,No data,-0.6163,Mixed,No,Dab1,disabled homolog 1 (Drosophila),,,,,,,,,,,,,,,,,,,
Dalrd3,0,0,1,0,0,-0.403,NA,NA,38.04,-1,0,0,3352,0,0,0,2,2.2261,0,0,No data,0,No change,No,Dalrd3,RIKEN cDNA 6330580J24 gene,,,,,,,,,,,,,,,,,,,
Dars2,1,0,0,-0.339,0,0,33.91,NA,NA,-1,0,0,307,1,0,2,2,4.432,0,-0.3316,-0.3657,-0.4632,Down-regulated,Yes,Dars2,aspartyl-tRNA synthetase 2 (mitochondrial),,,,,,,,,,,,,,,,,,,
Dazl,0,1,0,-0.201,-0.405,0,100.98,19.12,NA,-1,1,0,-134257,0,0,9,4,3.6318,0,-0.4367,-0.3201,-0.3755,Down-regulated,Yes,Dazl,deleted in azoospermia-like,,,,,,,,,,,,,,,,,,,
Dbf4,1,0,0,-0.226,0,0,11.75,NA,NA,-1,0,0,-1057,0,0,2,9,9.863,0,-0.3451,-0.8921,-0.314,Down-regulated,Yes,Dbf4,DBF4 homolog (S. cerevisiae),,,,,,,,,,,,,,,,,,,
Dcbld1,0,1,0,-0.342,-0.254,-0.248033333,15.43,33.63,NA,-1,3,0,13034,0,1,0,7,3.5511,0,0,No data,0,No change,No,Dcbld1,"discoidin, CUB and LCCL domain containing 1",,,,,,,,,,,,,,,,,,,
Ddc,1,1,0,-0.578,-0.474,0,27.16,33.55,NA,-1,1,0,205,0,0,2,6,8.3285,0,-1.1025,-0.8973,-0.5869,Down-regulated,Yes,Ddc,dopa decarboxylase,,,,,,,,,,,,,,,,,,,
Ddit4,1,0,0,0.326,0.47,0,9.31,17.77,NA,1,1,0,-6603,0,0,9,2,3.5505,0.3547,0.4969,0,-0.3761,Mixed,No,Ddit4,DNA-damage-inducible transcript 4,,,,,,,,,,,,,,,,,,,
Dennd2c,0,0,1,-0.262,-0.187,-0.339,16.83,90.74,20.94,-1,3,0,5634,0,0,2,3,4.2892,-0.21352,-0.4668,No data,-0.2373,Down-regulated,Yes,Dennd2c,DENN/MADD domain containing 2C,,,,,,,,,,,,,,,,,,,
Dgke,1,0,0,-0.447,0,0,17.7,NA,NA,-1,0,0,-944,0,0,0,7,6.3867,0,-0.3771,0,0,Down-regulated,Yes,Dgke,"diacylglycerol kinase, epsilon",,,,,,,,,,,,,,,,,,,
Dhx9,0,0,1,0,0,-0.249,NA,NA,55.84,-1,0,0,20237,0,0,2,6,4.2254,0,-0.2146,0,-0.2842,Down-regulated,Yes,Dhx9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,,,,,,,,,,,,,,,,,,,
Dlgap3,0,0,1,0,0,-0.554,NA,NA,50.08,-1,0,0,12622,1,0,7,20,8.9058,0,0,0.1879,0,Up-regulated,No,Dlgap3,"discs, large (Drosophila) homolog-associated protein 3",,,,,,,,,,,,,,,,,,,
Dmrt1,1,0,0,0.272,0.417,0,9.37,14.49,NA,1,1,0,-26830,0,1,5,9,3.4843,-0.88627,-1.0175,0,-0.9959,Down-regulated,No,Dmrt1,doublesex and mab-3 related transcription factor 1,,,,,,,,,,,,,,,,,,,
Dnahc8,0,1,0,0,-0.332,0,NA,15.08,NA,-1,0,0,-107,1,0,0,10,6.8394,-0.59982,0.2983,No data,-0.2389,Mixed,No,Dnahc8,"dynein, axonemal, heavy chain 8",,,,,,,,,,,,,,,,,,,
Dnajb14,1,0,0,0.293,0,0,59.95,NA,NA,1,0,0,-251,1,0,5,1,2.8996,0.1885,0,0,0.235,Up-regulated,Yes,Dnajb14,"DnaJ (Hsp40) homolog, subfamily B, member 14",,,,,,,,,,,,,,,,,,,
Dnajc6,0,0,1,-0.541,-0.541,-0.347330817,17.3,20.56,NA,-1,3,0,-13400,0,0,1,2,2.5616,-0.6719,-0.6828,-0.6546,-0.6443,Down-regulated,Yes,Dnajc6,"DnaJ (Hsp40) homolog, subfamily C, member 6",,,,,,,,,,,,,,,,,,,
Dnmt3b,1,1,0,-0.397,-0.217,0,58.52,88.78,NA,-1,1,0,-6166,0,0,2,14,8.1501,0,-1.351,-1.3607,-1.6227,Down-regulated,Yes,Dnmt3b,DNA methyltransferase 3B,,,,,,,,,,,,,,,,,,,
Dock5,0,1,0,-0.235,-0.211,0,16.32,31.84,NA,-1,1,0,-38995,0,0,1,5,2.9831,0.20806,-0.3988,No data,0,Mixed,No,Dock5,dedicator of cytokinesis 5,,,,,,,,,,,,,,,,,,,
Dpp4,1,0,0,-0.604,-0.764,0,6.09,10.73,NA,-1,1,0,4567,0,0,1,2,3.2747,-0.27498,-0.6535,-0.2426,-0.5742,Down-regulated,Yes,Dpp4,dipeptidylpeptidase 4,,,,,,,,,,,,,,,,,,,
Dppa2,1,0,0,-0.739,-0.46,0,55.28,58.03,NA,-1,1,0,-75,0,0,1,3,5.4472,0.22246,-1.8302,-1.4352,-1.8962,Mixed,No,Dppa2,developmental pluripotency associated 2,,,,,,,,,,,,,,,,,,,
Dppa3,1,0,1,-0.581,-0.245,0.598,20.68,74.28,7.57,-1,1,2,-1745,0,0,3,5,7.5024,-1.98216,-1.5534,-1.3898,-0.8367,Down-regulated,Yes,Dppa3,developmental pluripotency-associated 3,,,,,,,,,,,,,,,,,,,
Dppa5,1,0,0,-0.495,0,0,43.31,NA,NA,-1,0,0,-2334,0,0,6,4,7.8916,-1.75048,-1.3944,-1.0159,-1.6587,Down-regulated,Yes,Dppa5,similar to developmental pluripotency associated 5,,,,,,,,,,,,,,,,,,,
Dpysl4,0,1,0,-0.346,-0.233,0,27.99,29.85,NA,-1,1,0,45001,0,0,0,7,2.6858,0,0.663,0.3316,0,Up-regulated,No,Dpysl4,dihydropyrimidinase-like 4,,,,,,,,,,,,,,,,,,,
Dsp,0,0,1,0.258,0.529,0.313,43.13,29.83,62.09,1,3,0,-17174,0,0,1,16,3.3918,0.45838,-0.7159,0.2644,-0.2459,Mixed,No,Dsp,desmoplakin,,,,,,,,,,,,,,,,,,,
Dtx1,0,0,1,0,0,-0.301955964,NA,NA,NA,-1,0,0,13017,0,0,0,2,1.6388,0,0,0,0,No change,No,Dtx1,deltex 1 homolog (Drosophila),,,,,,,,,,,,,,,,,,,
Dusp27,1,0,0,-0.971,-0.264,0,8.46,48.68,NA,-1,1,0,2739,0,0,2,4,5.6177,-0.5451,-0.4635,-0.3805,-0.5962,Down-regulated,Yes,Dusp27,dual specificity phosphatase 27 (putative),,,,,,,,,,,,,,,,,,,
Dusp4,0,1,0,0,-0.209,0.425066667,NA,36.41,NA,1,0,1,-74782,0,0,5,12,3.302,0,0.1897,-0.6289,0.3797,Mixed,No,Dusp4,dual specificity phosphatase 4,,,,,,,,,,,,,,,,,,,
E030010N08Rik,1,1,0,-0.905,-0.897,0,5.03,27.72,NA,-1,1,0,31162,0,0,7,3,4.2912,-0.69363,-0.7293,-0.7009,0,Down-regulated,Yes,E030010N08Rik,RIKEN cDNA E030010N08 gene,,,,,,,,,,,,,,,,,,,
E130014J05Rik,1,1,1,-0.702,-0.656,-0.30485,4.01,8.65,NA,-1,3,0,-45798,0,0,4,29,8.0702,-0.4488,-0.5048,-0.3369,-0.881,Down-regulated,Yes,E130014J05Rik,RIKEN cDNA E130014J05 gene,,,,,,,,,,,,,,,,,,,
E230002P03Rik,1,1,0,-0.178,-0.227,0,85.13,4.92,NA,-1,1,0,-25443,0,0,4,26,8.7431,0,0,0,0,No change,No,E230002P03Rik,RIKEN cDNA E230002P03 gene,,,,,,,,,,,,,,,,,,,
Ebf1,1,1,0,-0.308,-0.487,0,4.72,13.61,NA,-1,1,0,37442,0,0,4,5,4.0117,-0.2613,0.573,0,0.5029,Mixed,No,Ebf1,early B-cell factor 1,,,,,,,,,,,,,,,,,,,
Edd1,1,1,0,-0.31,-0.221,0,18.87,38.71,NA,-1,1,0,716,1,0,2,6,7.2733,0,0,0,0,No change,No,Edd1,"E3 ubiquitin protein ligase, HECT domain containing, 1",,,,,,,,,,,,,,,,,,,
Edg2,1,0,0,-0.601,0,0,12.82,NA,NA,-1,0,0,-250,0,0,1,9,9.1383,0.23416,-0.6301,0,0.2158,Mixed,No,Edg2,"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2",,,,,,,,,,,,,,,,,,,
Eef2k,0,1,0,0,-0.325,0,NA,21.23,NA,-1,0,0,9847,0,0,3,3,4.2163,0.3327,0.3584,0.3371,0.245,Up-regulated,No,Eef2k,eukaryotic elongation factor-2 kinase,,,,,,,,,,,,,,,,,,,
Efcab2,0,1,1,0,-0.295,-0.179466497,NA,33.87,NA,-1,1,0,284,0,0,5,2,7.4728,0,-0.1971,No data,-0.2983,Down-regulated,Yes,Efcab2,EF-hand calcium binding domain 2,,,,,,,,,,,,,,,,,,,
Egln3,1,0,1,0.376,0.422,-0.485689923,11.78,54.5,33.02,1,1,2,-21651,0,0,1,8,2.8368,-0.6313,-0.3224,-0.4815,-0.4535,Down-regulated,Yes,Egln3,EGL nine homolog 3 (C. elegans),,,,,,,,,,,,,,,,,,,
Eif2c1,1,0,0,-0.436,-0.247,0,11.27,77.73,NA,-1,1,0,-96,1,0,2,3,5.3086,0,0.4722,0.4323,0,Up-regulated,No,Eif2c1,"eukaryotic translation initiation factor 2C, 1",,,,,,,,,,,,,,,,,,,
Eif4a2,0,0,1,0,0,-0.19445,NA,NA,NA,-1,0,0,-537,0,0,2,2,5.513,-0.18632,-0.2801,0,0,Down-regulated,Yes,Eif4a2,eukaryotic translation initiation factor 4A2,,,,,,,,,,,,,,,,,,,
Eif4g3,0,0,1,0,0,-0.255422205,NA,NA,NA,-1,0,0,1420,0,0,2,6,7.7127,0,0,0,0.2038,Up-regulated,No,Eif4g3,"eukaryotic translation initiation factor 4 gamma, 3",,,,,,,,,,,,,,,,,,,
Elavl2,0,1,0,0,-0.341,-0.183533232,NA,27.16,NA,-1,1,0,-1592,0,0,2,1,4.0449,-0.26332,0,-0.2693,-0.2299,Down-regulated,Yes,Elavl2,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)",,,,,,,,,,,,,,,,,,,
Emb,1,0,0,-0.59,0.237,0,27.65,19.15,NA,-1,0,1,913,0,0,4,1,5.8411,-0.5447,-1.1296,-1.1852,-0.7177,Down-regulated,Yes,Emb,embigin,,,,,,,,,,,,,,,,,,,
Emp1,1,0,0,-0.36,0,-0.44,24.89,NA,18.52,-1,1,0,1884,0,0,3,0,2.8723,0,-1.1029,0,0.6546,Mixed,No,Emp1,epithelial membrane protein 1,,,,,,,,,,,,,,,,,,,
Enah,1,1,1,-0.239,-0.182,-0.209081768,11.42,69.06,NA,-1,3,0,-10895,0,0,6,15,8.8656,-0.4463,-0.6214,-0.4186,-0.4276,Down-regulated,Yes,Enah,enabled homolog (Drosophila),,,,,,,,,,,,,,,,,,,
Enpp3,1,0,0,-0.365,-0.753,0,6.84,18.41,NA,-1,1,0,1345,0,0,2,1,4.2023,0,0,0,0,No change,No,Enpp3,ectonucleotide pyrophosphatase/phosphodiesterase 3,,,,,,,,,,,,,,,,,,,
Ensa,0,0,1,0,-0.187,-0.188483333,NA,89.86,NA,-1,1,0,503,0,0,5,0,4.5251,0,0.2855,0.2381,-0.2083,Mixed,No,Ensa,endosulfine alpha,,,,,,,,,,,,,,,,,,,
Eomes,1,0,0,0.411,0.285,0,7.14,4.43,NA,1,1,0,-72572,0,1,9,4,2.8896,1.14292,-0.5761,0,0,Mixed,No,Eomes,eomesodermin homolog (Xenopus laevis),,,,,,,,,,,,,,,,,,,
Epb4.1l4a,1,0,1,-0.276,0,-0.260588723,11.76,NA,NA,-1,1,0,-3646,1,0,3,33,13.7148,0,0,0,-0.2207,Down-regulated,Yes,Epb4.1l4a,erythrocyte protein band 4.1-like 4a,,,,,,,,,,,,,,,,,,,
Epb4.1l4b,1,0,0,-0.323,0,0,35.96,NA,NA,-1,0,0,-20488,0,0,8,5,5.6632,0,0.246,0.1798,0,Up-regulated,No,Epb4.1l4b,erythrocyte protein band 4.1-like 4b,,,,,,,,,,,,,,,,,,,
Epb4.9,1,0,1,0.3,0,-0.229590039,2.7,NA,NA,1,0,1,2520,0,0,10,3,4.2589,-0.2616,-0.413,-0.4045,-0.3023,Down-regulated,Yes,Epb4.9,erythrocyte protein band 4.9,,,,,,,,,,,,,,,,,,,
Epha1,1,0,0,-0.4,0,0,1.36,NA,NA,-1,0,0,-7810,0,0,1,8,5.3811,0,-0.2348,0,0,Down-regulated,Yes,Epha1,Eph receptor A1,,,,,,,,,,,,,,,,,,,
Epha4,1,0,0,-0.575,0,0,5.3,NA,NA,-1,0,0,61345,0,0,4,13,5.2145,-0.5755,-0.6187,0,0.3115,Mixed,No,Epha4,Eph receptor A4,,,,,,,,,,,,,,,,,,,
Eras,0,0,1,-0.361,-0.617,-0.39103086,13.21,50.5,NA,-1,3,0,902,1,0,2,1,3.4215,-1.03711,-1.5073,No data,-1.5088,Down-regulated,Yes,Eras,ES cell-expressed Ras,,,,,,,,,,,,,,,,,,,
Erf,0,0,1,-0.351,0,-0.191,2.13,NA,53.53,-1,1,0,-13434,0,0,2,2,3.0609,0.38696,0,0,0,Up-regulated,No,Erf,Ets2 repressor factor,,,,,,,,,,,,,,,,,,,
Esrrb,1,0,1,-1.011,0,-0.402733221,18.69,NA,66.05,-1,1,0,679,0,0,1,6,7.4882,0,0,0,-0.2307,Down-regulated,Yes,Esrrb,"estrogen related receptor, beta",,,,,,,,,,,,,,,,,,,
Ets2,0,0,1,0,0,0.335,NA,NA,60.45,1,0,0,50367,0,0,4,13,3.3907,0,0,0,0,No change,No,Ets2,"E26 avian leukemia oncogene 2, 3' domain",,,,,,,,,,,,,,,,,,,
